technolog, algorithm, n, 2^n, time
cuda, batcher-odd-even-shared, 10, 1024, 0.1277844720
cuda, batcher-odd-even-shared, 15, 32768, 0.2580474440
cuda, batcher-odd-even-shared, 20, 1048576, 1.4583997430
cuda, batcher-odd-even-shared, 21, 2097152, 2.3684557170
cuda, batcher-odd-even-shared, 22, 4194304, 4.5144916290
cuda, batcher-odd-even, 10, 1024, 0.0919891960
cuda, batcher-odd-even, 15, 32768, 0.1847397130
cuda, batcher-odd-even, 20, 1048576, 1.0983781780
cuda, batcher-odd-even, 21, 2097152, 3.0617860510
cuda, batcher-odd-even, 22, 4194304, 4.1457332630
cuda, bitonic-shared, 1024, 10, 0.1046424840
cuda, bitonic-shared, 32768, 15, 0.3302436470
cuda, bitonic-shared, 1048576, 20, 2.0040850090
cuda, bitonic-shared, 2097152, 21, 4.0398730190
cuda, bitonic-shared, 4194304, 22, 8.3145554050
cuda, bitonic, 1024, 10, 0.0982366470
cuda, bitonic, 32768, 15, 0.2286578060
cuda, bitonic, 1048576, 20, 1.9288178270
cuda, bitonic, 2097152, 21, 4.5393653850
cuda, bitonic, 4194304, 22, 8.6038559680
parallel, batcher-odd-even-mergesort, 10, 1024, 0.0093659110
parallel, batcher-odd-even-mergesort, 15, 32768, 0.4653382990
parallel, batcher-odd-even-mergesort, 20, 1048576, 21.2156882860
parallel, batcher-odd-even-mergesort, 21, 2097152, 45.9994623000
parallel, batcher-odd-even-mergesort, 22, 4194304, 97.7724879830
parallel, batcher-odd-even, 1024, 10, 0.0013528470
parallel, batcher-odd-even, 32768, 15, 0.0351388020
parallel, batcher-odd-even, 1048576, 20, 1.8883955120
parallel, batcher-odd-even, 2097152, 21, 4.1991292790
parallel, batcher-odd-even, 4194304, 22, 9.1066438150
parallel, bitonic, 1024, 10, 0.0008817930
parallel, bitonic, 32768, 15, 0.0362202360
parallel, bitonic, 1048576, 20, 1.9842262960
parallel, bitonic, 2097152, 21, 4.4021552060
parallel, bitonic, 4194304, 22, 9.6049165000
serial, batcher-odd-even-mergesort, 10, 1024, 0.0018569210
serial, batcher-odd-even-mergesort, 15, 32768, 0.0877455580
serial, batcher-odd-even-mergesort, 20, 1048576, 5.8115304030
serial, batcher-odd-even-mergesort, 21, 2097152, 14.2268143990
serial, batcher-odd-even-mergesort, 22, 4194304, 34.5576749920
serial, batcher-odd-even, 10, 1024, 0.0011173200
serial, batcher-odd-even, 15, 32768, 0.0827341390
serial, batcher-odd-even, 20, 1048576, 4.7826189830
serial, batcher-odd-even, 21, 2097152, 10.5510644370
serial, batcher-odd-even, 22, 4194304, 23.2450754820
serial, bitonic, 1024, 10, 0.0014234730
serial, bitonic, 32768, 15, 0.0953940960
serial, bitonic, 1048576, 20, 5.1806148380
serial, bitonic, 2097152, 21, 11.4309737260
serial, bitonic, 4194304, 22, 24.8999201510
serial, stdSort, 1024, 10, 0.0004828770
serial, stdSort, 32768, 15, 0.0210645880
serial, stdSort, 1048576, 20, 0.9244615320
serial, stdSort, 2097152, 21, 1.8499697640
serial, stdSort, 4194304, 22, 3.8283758370
